category,main_category,state,backers,country,usd_pledged_real,usd_goal_real,project_time
220,0.0,5.0,1.0,125.0,0.0,8946.0,8500.0,8.0
221,10.0,6.0,1.0,11.0,0.0,702.0,700.0,8.0
222,48.0,6.0,0.0,0.0,0.0,0.0,100.0,8.0
223,27.0,1.0,2.0,4.0,0.0,153.0,800.0,8.0
224,9.0,8.0,1.0,7.0,0.0,280.0,250.0,8.0
225,3.0,3.0,1.0,1030.0,1.0,48648.77,2182.93,8.0
226,12.0,9.0,2.0,1.0,0.0,20.0,500.0,8.0
227,57.0,1.0,0.0,0.0,0.0,0.0,10000.0,8.0
228,117.0,12.0,1.0,4.0,14.0,54.27,53.21,8.0
229,11.0,2.0,0.0,0.0,0.0,0.0,1100.0,8.0
230,33.0,1.0,0.0,1.0,0.0,25.0,1100.0,8.0
231,7.0,0.0,0.0,0.0,5.0,0.0,1396.33,8.0
232,53.0,6.0,1.0,27.0,0.0,1369.0,600.0,8.0
233,19.0,10.0,1.0,62.0,0.0,1414.11,550.0,8.0
234,3.0,3.0,1.0,40.0,0.0,173.0,25.0,8.0
235,50.0,14.0,1.0,12.0,0.0,648.0,600.0,8.0
236,7.0,0.0,1.0,20.0,0.0,705.0,500.0,8.0
237,1.0,0.0,0.0,3.0,0.0,59.0,24000.0,8.0
238,33.0,1.0,1.0,35.0,13.0,1514.77,1499.77,8.0
239,3.0,3.0,1.0,106.0,0.0,1651.0,600.0,8.0
240,19.0,10.0,1.0,62.0,0.0,4450.01,3000.0,8.0
241,57.0,1.0,0.0,63.0,0.0,3961.0,10000.0,9.0
242,75.0,9.0,1.0,8.0,1.0,796.97,796.97,9.0
243,35.0,4.0,0.0,3.0,1.0,58.53,636237.55,9.0
244,51.0,3.0,0.0,1.0,0.0,10.0,500.0,9.0
245,19.0,10.0,1.0,15.0,0.0,667.0,150.0,9.0
246,63.0,9.0,1.0,57.0,2.0,6654.99,4608.72,9.0
247,2.0,1.0,2.0,0.0,0.0,0.0,2000.0,9.0
248,91.0,10.0,0.0,1.0,0.0,10.0,830.0,9.0
249,6.0,7.0,0.0,0.0,0.0,0.0,500.0,9.0
250,7.0,0.0,0.0,3.0,0.0,26.0,500.0,9.0
251,23.0,0.0,0.0,0.0,0.0,0.0,14000.0,9.0
252,34.0,6.0,1.0,149.0,0.0,11761.11,8358.0,9.0
253,3.0,3.0,1.0,1138.0,0.0,88046.54,21000.0,9.0
254,48.0,6.0,0.0,6.0,0.0,67.0,1000.0,9.0
255,73.0,3.0,2.0,1.0,0.0,5.0,1000.0,9.0
256,23.0,0.0,1.0,10.0,0.0,9610.0,6000.0,9.0
257,7.0,0.0,0.0,0.0,0.0,0.0,2800.0,9.0
258,26.0,12.0,1.0,51.0,0.0,4213.0,250.0,9.0
259,19.0,10.0,1.0,6.0,0.0,295.0,250.0,9.0
260,2.0,1.0,3.0,0.0,4.0,0.0,1453.83,9.0
261,7.0,0.0,1.0,5.0,0.0,601.0,500.0,9.0
262,2.0,1.0,0.0,0.0,0.0,0.0,5800.0,9.0
263,116.0,9.0,0.0,0.0,0.0,0.0,2000.0,9.0
264,100.0,0.0,0.0,0.0,0.0,0.0,675000.0,9.0
265,7.0,0.0,0.0,0.0,3.0,0.0,957.55,9.0
266,6.0,7.0,1.0,153.0,0.0,10400.0,8000.0,9.0
267,47.0,5.0,0.0,10.0,0.0,760.0,10000.0,9.0
268,11.0,2.0,0.0,0.0,0.0,0.0,14500.0,9.0
269,43.0,2.0,1.0,21.0,0.0,512.0,180.0,9.0
270,24.0,4.0,0.0,0.0,0.0,0.0,5000.0,9.0
271,119.0,5.0,1.0,17.0,1.0,939.59,817.03,9.0
272,44.0,3.0,1.0,270.0,0.0,9862.0,8000.0,9.0
273,46.0,0.0,1.0,80.0,0.0,5650.0,5500.0,9.0
274,12.0,9.0,1.0,11.0,0.0,500.0,500.0,9.0
275,0.0,5.0,0.0,2.0,0.0,21.0,3125.0,9.0
276,20.0,0.0,0.0,4.0,0.0,36.0,800.0,9.0
277,32.0,6.0,1.0,20.0,0.0,5000.0,5000.0,9.0
278,8.0,2.0,0.0,8.0,0.0,520.0,3500.0,9.0
279,75.0,9.0,1.0,6.0,0.0,500.0,500.0,9.0
280,26.0,12.0,0.0,1.0,0.0,125.0,500.0,9.0
281,7.0,0.0,1.0,27.0,0.0,1005.0,500.0,9.0
282,2.0,1.0,0.0,1.0,0.0,1.0,150.0,9.0
283,19.0,10.0,1.0,30.0,0.0,1260.0,500.0,9.0
284,10.0,6.0,0.0,2.0,0.0,10.0,500.0,9.0
285,24.0,13.0,0.0,3.0,0.0,51.0,950.0,9.0
286,11.0,2.0,0.0,0.0,0.0,0.0,2000.0,9.0
287,12.0,9.0,0.0,147.0,1.0,20658.63,41828.4,9.0
288,36.0,8.0,0.0,6.0,1.0,708.23,6681.45,9.0
289,32.0,6.0,1.0,33.0,0.0,530.01,400.0,9.0
290,34.0,6.0,0.0,0.0,0.0,0.0,250.0,9.0
291,17.0,1.0,0.0,4.0,0.0,36.0,1000.0,9.0
292,59.0,13.0,1.0,13.0,0.0,330.0,330.0,9.0
293,3.0,3.0,1.0,298.0,0.0,12071.0,1000.0,9.0
294,9.0,8.0,2.0,0.0,0.0,0.0,6000.0,9.0
295,7.0,0.0,1.0,9.0,1.0,1510.85,1510.85,9.0
296,48.0,6.0,0.0,6.0,0.0,371.0,700.0,9.0
297,51.0,3.0,0.0,0.0,19.0,0.0,3883.58,9.0
298,6.0,7.0,1.0,25.0,0.0,635.17,600.0,9.0
299,84.0,2.0,2.0,0.0,0.0,0.0,1000.0,9.0
300,9.0,8.0,1.0,34.0,0.0,1965.0,1500.0,9.0
301,1.0,0.0,2.0,1.0,0.0,25.0,2500.0,9.0
302,19.0,10.0,1.0,53.0,0.0,3357.0,3000.0,9.0
303,17.0,1.0,1.0,25.0,0.0,920.0,600.0,9.0
304,112.0,2.0,1.0,1094.0,0.0,22706.0,1500.0,9.0
305,31.0,6.0,1.0,88.0,0.0,3081.0,3000.0,9.0
306,19.0,10.0,1.0,86.0,0.0,3070.0,3000.0,9.0
307,2.0,1.0,0.0,0.0,0.0,0.0,1500.0,9.0
308,12.0,9.0,0.0,1.0,0.0,25.0,1000.0,9.0
309,48.0,6.0,1.0,34.0,0.0,1716.0,1500.0,9.0
310,6.0,7.0,0.0,0.0,0.0,0.0,10000.0,9.0
311,22.0,11.0,1.0,10.0,0.0,695.0,600.0,9.0
312,60.0,7.0,0.0,0.0,1.0,0.0,60477.77,9.0
313,20.0,0.0,0.0,0.0,0.0,0.0,400.0,9.0
314,109.0,6.0,0.0,5.0,0.0,122.0,3400.0,9.0
315,54.0,0.0,0.0,0.0,0.0,0.0,15000.0,9.0
316,29.0,5.0,1.0,38.0,0.0,2626.0,2500.0,9.0
317,2.0,1.0,0.0,0.0,0.0,0.0,6000.0,9.0
318,27.0,1.0,0.0,25.0,0.0,912.0,1000.0,9.0
319,20.0,0.0,1.0,40.0,0.0,2708.0,2500.0,9.0
320,20.0,0.0,0.0,0.0,0.0,0.0,5000.0,9.0
321,36.0,8.0,1.0,4.0,0.0,310.0,250.0,9.0
322,85.0,8.0,0.0,5.0,0.0,54.0,5000.0,9.0
323,89.0,0.0,1.0,12.0,0.0,390.55,250.0,9.0
324,132.0,7.0,0.0,0.0,1.0,0.0,1845.33,9.0
325,64.0,0.0,1.0,52.0,1.0,3710.27,3518.85,9.0
326,122.0,2.0,0.0,1.0,0.0,1.0,10000.0,9.0
327,32.0,6.0,1.0,1696.0,0.0,75690.32,12000.0,9.0
328,10.0,6.0,1.0,27.0,0.0,1915.0,1050.0,9.0
329,1.0,0.0,1.0,4.0,8.0,414.64,284.0,9.0
330,61.0,11.0,0.0,4.0,1.0,122.51,4835.82,9.0
331,10.0,6.0,1.0,25.0,0.0,953.0,300.0,9.0
332,48.0,6.0,1.0,36.0,1.0,1702.17,1497.07,9.0
333,2.0,1.0,0.0,1.0,8.0,2.28,569.05,9.0
334,3.0,3.0,1.0,326.0,0.0,13567.0,9000.0,9.0
335,12.0,9.0,1.0,8.0,0.0,1750.0,1750.0,9.0
336,107.0,0.0,1.0,54.0,1.0,1805.57,1742.22,9.0
337,44.0,3.0,0.0,130.0,0.0,2360.0,3500.0,9.0
338,1.0,0.0,0.0,5.0,1.0,173.91,3623.03,9.0
339,10.0,6.0,0.0,14.0,0.0,158.0,1000.0,9.0
340,35.0,4.0,1.0,49.0,0.0,6009.56,1701.0,9.0
341,5.0,3.0,2.0,2.0,0.0,125.0,600.0,9.0
342,88.0,2.0,0.0,0.0,0.0,0.0,1666.0,9.0
343,0.0,5.0,1.0,42.0,0.0,11570.0,3000.0,9.0
344,12.0,9.0,1.0,11.0,1.0,370.39,308.66,9.0
345,14.0,8.0,1.0,15.0,1.0,466.86,454.73,9.0
346,46.0,0.0,1.0,8.0,0.0,425.67,300.0,9.0
347,9.0,8.0,0.0,1.0,0.0,600.0,5000.0,9.0
348,46.0,9.0,0.0,2.0,0.0,31.0,500.0,9.0
349,45.0,7.0,2.0,0.0,0.0,0.0,85500.0,9.0
350,5.0,3.0,1.0,93.0,0.0,488.0,100.0,9.0
351,10.0,6.0,1.0,15.0,0.0,195.0,72.0,9.0
352,132.0,7.0,0.0,0.0,0.0,0.0,50.0,9.0
353,41.0,11.0,1.0,37.0,0.0,1910.0,1.0,9.0
354,118.0,8.0,0.0,1.0,0.0,5.0,2000.0,9.0
355,31.0,6.0,0.0,2.0,0.0,20.0,2000.0,9.0
356,58.0,12.0,1.0,3.0,0.0,122.0,110.0,9.0
357,37.0,6.0,1.0,41.0,0.0,2325.0,2300.0,9.0
358,6.0,7.0,0.0,0.0,0.0,0.0,100.0,9.0
359,132.0,7.0,5.0,0.0,3.0,0.0,7.88,9.0
360,48.0,6.0,0.0,19.0,0.0,523.0,2379.0,9.0
361,62.0,2.0,1.0,14.0,1.0,173.08,13.44,9.0
362,68.0,6.0,0.0,2.0,0.0,6.0,10.0,9.0
363,121.0,5.0,1.0,34.0,0.0,4000.0,4000.0,9.0
364,72.0,6.0,1.0,14.0,0.0,2000.0,2000.0,9.0
365,21.0,2.0,1.0,3.0,0.0,53.0,50.0,9.0
366,53.0,6.0,1.0,3.0,0.0,120.0,100.0,9.0
367,31.0,6.0,1.0,23.0,0.0,281.0,100.0,9.0
368,3.0,3.0,1.0,15.0,0.0,240.0,100.0,9.0
369,7.0,0.0,3.0,0.0,4.0,222.0,7500.0,9.0
370,136.0,12.0,1.0,5.0,2.0,148.91,37.99,9.0
371,3.0,3.0,1.0,1770.0,0.0,101351.0,25000.0,9.0
372,48.0,6.0,1.0,61.0,0.0,1615.8,1605.0,10.0
373,0.0,5.0,1.0,18.0,0.0,1041.0,1000.0,10.0
374,3.0,3.0,1.0,200.0,0.0,4415.0,500.0,10.0
375,7.0,0.0,0.0,0.0,0.0,0.0,500.0,10.0
376,96.0,10.0,1.0,185.0,0.0,7241.0,3000.0,10.0
377,36.0,8.0,0.0,13.0,8.0,103.27,203.82,10.0
378,1.0,0.0,2.0,7.0,0.0,485.0,7000.0,10.0
379,20.0,0.0,1.0,21.0,0.0,5105.0,5000.0,10.0
380,44.0,3.0,1.0,26.0,0.0,593.0,100.0,10.0
381,19.0,10.0,0.0,9.0,0.0,715.0,1500.0,10.0
382,71.0,4.0,1.0,287.0,14.0,38421.55,5934.01,10.0
383,2.0,1.0,1.0,34.0,0.0,2100.0,2100.0,10.0
384,63.0,9.0,1.0,97.0,1.0,6260.08,5158.69,10.0
385,7.0,0.0,1.0,20.0,1.0,907.3,854.34,10.0
386,7.0,0.0,0.0,12.0,0.0,355.0,5000.0,10.0
387,110.0,6.0,1.0,10.0,0.0,326.0,275.0,10.0
388,44.0,3.0,2.0,2.0,0.0,19.0,500.0,10.0
389,23.0,0.0,1.0,44.0,0.0,3006.0,3000.0,10.0
390,76.0,11.0,1.0,161.0,0.0,4208.0,1000.0,10.0
391,4.0,0.0,1.0,108.0,0.0,23431.0,22000.0,10.0
392,22.0,11.0,1.0,291.0,0.0,27982.99,5800.0,10.0
393,100.0,0.0,0.0,2.0,0.0,400.0,1000.0,10.0
394,4.0,0.0,1.0,27.0,0.0,4560.0,4500.0,10.0
395,105.0,4.0,1.0,29.0,0.0,750.0,550.0,10.0
396,113.0,13.0,2.0,0.0,0.0,0.0,10000.0,10.0
